,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57
P,1,2,3,4,5,6,7,8,9,10,11,12,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,2,3,4,2,3,2,3,4,1,2,3,41,44,1,44,46,46,46,46,1,52,1,52,54,54,54,54,1
Q,1,2,3,4,5,6,7,8,9,10,11,12,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,2,3,4,2,3,2,3,4,1,2,3,41,44,1,44,46,46,46,46,1,52,1,52,54,54,54,54,1
R,1,2,3,4,5,6,7,8,9,10,11,12,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,2,3,4,2,3,2,3,4,1,2,3,41,44,1,44,46,46,46,46,1,52,1,52,54,54,54,54,1
S,1,2,3,4,5,6,7,8,9,10,11,12,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,2,3,4,2,3,2,3,4,1,2,3,41,44,1,44,46,46,46,46,1,52,1,52,54,54,54,54,1
T,1,2,3,4,5,6,7,8,9,10,11,12,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,2,3,4,2,3,2,3,4,1,2,3,41,44,1,44,46,46,46,46,1,52,1,52,54,54,54,54,1
U,1,2,3,4,5,6,7,8,9,10,11,12,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,2,3,4,2,3,2,3,4,1,2,3,41,44,1,44,46,46,46,46,1,52,1,52,54,54,54,54,1
V,1,2,3,4,5,6,7,8,9,10,11,12,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,2,3,4,2,3,2,3,4,1,2,3,41,44,1,44,46,46,46,46,1,52,1,52,54,54,54,54,1
W,1,2,3,4,5,6,7,8,9,10,11,12,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,2,3,4,2,3,2,3,4,1,2,3,41,44,1,44,46,46,46,46,1,52,1,52,54,54,54,54,1
X,1,2,3,4,5,6,7,8,9,10,11,12,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,2,3,4,2,3,2,3,4,1,2,3,41,44,1,44,46,46,46,46,1,52,1,52,54,54,54,54,1
Y,1,2,3,4,5,6,7,8,9,10,11,12,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,2,3,4,2,3,2,3,4,1,2,3,41,44,1,44,46,46,46,46,1,52,1,52,54,54,54,54,1
Z,1,2,3,4,5,6,7,8,9,10,11,12,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,2,3,4,2,3,2,3,4,1,2,3,41,44,1,44,46,46,46,46,1,52,1,52,54,54,54,54,1
a,30,2,3,4,5,6,7,8,9,10,11,12,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,2,3,4,2,3,2,3,4,1,2,3,41,44,30,44,46,46,46,46,30,52,30,52,54,54,54,54,30
b,1,2,3,4,5,6,7,8,9,10,11,12,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,2,3,4,2,3,2,3,4,1,2,3,41,44,1,44,46,46,46,46,1,52,1,52,54,54,54,54,1
c,1,2,3,4,5,6,7,8,9,10,11,12,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,2,3,4,2,3,2,3,4,1,2,3,41,44,1,44,46,46,46,46,1,52,1,52,54,54,54,54,1
d,1,2,3,4,5,6,7,8,9,10,11,12,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,2,32,4,2,3,2,3,4,1,2,3,41,44,1,44,46,46,46,46,1,52,1,52,54,54,54,54,1
e,1,2,3,4,5,6,7,8,9,10,11,12,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,2,3,4,2,3,2,3,4,1,2,3,41,44,1,44,46,46,46,46,1,52,1,52,54,54,54,54,1
f,1,2,3,4,5,6,7,8,9,10,11,12,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,2,3,4,2,3,2,3,4,1,2,3,41,44,1,44,46,46,46,46,1,52,1,52,54,54,54,54,1
g,1,2,3,4,5,6,7,8,9,10,11,12,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,2,3,4,2,3,2,3,4,1,2,3,41,44,1,44,46,46,46,46,1,52,1,52,54,54,54,54,1
h,1,2,3,4,5,6,7,8,9,10,11,12,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,2,3,4,2,3,2,3,4,1,2,3,41,44,1,44,46,46,46,46,1,52,1,52,54,54,54,54,1
i,39,2,3,4,5,6,7,8,9,10,11,12,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,2,3,4,2,3,2,3,4,39,2,3,41,44,39,44,46,46,46,46,39,52,39,52,54,54,54,54,39
j,1,2,3,4,5,6,7,8,9,10,11,12,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,2,3,4,2,3,2,3,4,1,2,3,41,44,1,44,46,46,46,46,1,52,1,52,54,54,54,54,1
k,1,2,3,4,5,6,7,8,9,10,11,12,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,2,3,4,2,3,2,3,4,1,2,3,41,44,1,44,46,46,46,46,1,52,1,52,54,54,54,54,1
l,1,2,3,4,5,6,7,8,9,10,11,12,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,2,3,4,2,3,2,3,4,1,2,3,41,44,1,44,46,46,46,46,1,52,1,52,54,54,54,54,1
m,1,2,3,4,5,6,7,8,9,10,11,12,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,2,3,4,2,3,2,3,4,1,2,3,41,44,1,44,46,46,46,46,1,52,1,52,54,54,54,54,1
n,35,2,3,4,5,6,7,8,9,10,11,12,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,31,3,4,2,3,2,3,4,1,40,3,41,44,35,44,46,46,46,46,35,52,35,52,54,54,54,54,35
o,33,2,3,4,5,6,7,8,9,10,11,12,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,2,3,4,2,3,36,3,4,1,2,3,41,44,33,44,46,46,46,46,33,52,33,52,54,54,54,54,33
p,1,2,3,4,5,6,7,8,9,10,11,12,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,2,3,4,2,3,2,3,4,1,2,3,41,44,1,44,46,46,46,46,1,52,1,52,54,54,54,54,1
q,1,2,3,4,5,6,7,8,9,10,11,12,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,2,3,4,2,3,2,3,4,1,2,3,41,44,1,44,46,46,46,46,1,52,1,52,54,54,54,54,1
r,1,2,3,4,5,6,7,8,9,10,11,12,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,2,3,4,34,3,2,3,4,1,2,3,41,44,1,44,46,46,46,46,1,52,1,52,54,54,54,54,1
s,1,2,3,4,5,6,7,8,9,10,11,12,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,2,3,4,2,3,2,3,4,1,2,3,41,44,1,44,46,46,46,46,1,52,1,52,54,54,54,54,1
t,1,2,3,4,5,6,7,8,9,10,11,12,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,2,3,4,2,3,2,37,4,1,2,3,41,44,1,44,46,46,46,46,1,52,1,52,54,54,54,54,1
u,1,2,3,4,5,6,7,8,9,10,11,12,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,2,3,4,2,3,2,3,4,1,2,3,41,44,1,44,46,46,46,46,1,52,1,52,54,54,54,54,1
v,1,2,3,4,5,6,7,8,9,10,11,12,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,2,3,4,2,3,2,3,4,1,2,3,41,44,1,44,46,46,46,46,1,52,1,52,54,54,54,54,1
